2020-08-18T22:58:26.509671,127.0.0.1,49189,Server: hello has joined the chat. Say hi!,b'>>>>>hello has joined the chat. Say hi!'
2020-08-18T22:58:27.698764,127.0.0.1,49189,hello: hi,b'>>>>>hi'
2020-08-18T22:58:29.148821,127.0.0.1,49189,hello: bye,b'>>>>>bye'
2020-08-18T22:58:37.488579,127.0.0.1,49194,Server: suchana has joined the chat. Say hi!,b'>>>>>suchana has joined the chat. Say hi!'
2020-08-18T22:58:39.013217,127.0.0.1,49194,suchana: hi,b'>>>>>hi'
2020-08-18T22:58:39.837215,127.0.0.1,49194,suchana: he,b'>>>>>he'
2020-10-23T22:24:34.742808,127.0.0.1,58322,"GET /socket.io/?EIO=3&transport=polling&t=NLMHh2k HTTP/1.1
Host: localhost:8080
Connection: keep-alive
Accept: */*
User-Agent: Mozilla/5.0 (Linux; Android 5.0; SM-G900P Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.75 Mobile Safari/537.36
Origin: http://localhost:4200
Sec-Fetch-Site: same-site
Sec-Fetch-Mode: cors
Sec-Fetch-Dest: empty
Referer: http://localhost:4200/
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.9,bn;q=0.8,hi;q=0.7
Cookie: email=armanrafsunjany%40gmail.com; isLoggedIn=true; _isUserLogin=true; io=aznf2x5iMt227-oNAAAM

","b'>>>>>/socket.io/?EIO=3&transport=polling&t=NLMHh2k HTTP/1.1 Host: localhost:8080 Connection: keep-alive Accept: */* User-Agent: Mozilla/5.0 (Linux; Android 5.0; SM-G900P Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.75 Mobile Safari/537.36 Origin: http://localhost:4200 Sec-Fetch-Site: same-site Sec-Fetch-Mode: cors Sec-Fetch-Dest: empty Referer: http://localhost:4200/ Accept-Encoding: gzip, deflate, br Accept-Language: en-US,en;q=0.9,bn;q=0.8,hi;q=0.7 Cookie: email=armanrafsunjany%40gmail.com; isLoggedIn=true; _isUserLogin=true; io=aznf2x5iMt227-oNAAAM'"
2020-10-23T22:24:35.805139,127.0.0.1,58334,"GET /socket.io/?EIO=3&transport=polling&t=NLMHhJL HTTP/1.1
Host: localhost:8080
Connection: keep-alive
Accept: */*
User-Agent: Mozilla/5.0 (Linux; Android 5.0; SM-G900P Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.75 Mobile Safari/537.36
Origin: http://localhost:4200
Sec-Fetch-Site: same-site
Sec-Fetch-Mode: cors
Sec-Fetch-Dest: empty
Referer: http://localhost:4200/
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.9,bn;q=0.8,hi;q=0.7
Cookie: email=armanrafsunjany%40gmail.com; isLoggedIn=true; _isUserLogin=true; io=aznf2x5iMt227-oNAAAM

","b'>>>>>/socket.io/?EIO=3&transport=polling&t=NLMHhJL HTTP/1.1 Host: localhost:8080 Connection: keep-alive Accept: */* User-Agent: Mozilla/5.0 (Linux; Android 5.0; SM-G900P Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.75 Mobile Safari/537.36 Origin: http://localhost:4200 Sec-Fetch-Site: same-site Sec-Fetch-Mode: cors Sec-Fetch-Dest: empty Referer: http://localhost:4200/ Accept-Encoding: gzip, deflate, br Accept-Language: en-US,en;q=0.9,bn;q=0.8,hi;q=0.7 Cookie: email=armanrafsunjany%40gmail.com; isLoggedIn=true; _isUserLogin=true; io=aznf2x5iMt227-oNAAAM'"
2020-10-23T22:24:37.974375,127.0.0.1,58354,"GET /socket.io/?EIO=3&transport=polling&t=NLMHhr7 HTTP/1.1
Host: localhost:8080
Connection: keep-alive
Accept: */*
User-Agent: Mozilla/5.0 (Linux; Android 5.0; SM-G900P Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.75 Mobile Safari/537.36
Origin: http://localhost:4200
Sec-Fetch-Site: same-site
Sec-Fetch-Mode: cors
Sec-Fetch-Dest: empty
Referer: http://localhost:4200/
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.9,bn;q=0.8,hi;q=0.7
Cookie: email=armanrafsunjany%40gmail.com; isLoggedIn=true; _isUserLogin=true; io=aznf2x5iMt227-oNAAAM

","b'>>>>>/socket.io/?EIO=3&transport=polling&t=NLMHhr7 HTTP/1.1 Host: localhost:8080 Connection: keep-alive Accept: */* User-Agent: Mozilla/5.0 (Linux; Android 5.0; SM-G900P Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.75 Mobile Safari/537.36 Origin: http://localhost:4200 Sec-Fetch-Site: same-site Sec-Fetch-Mode: cors Sec-Fetch-Dest: empty Referer: http://localhost:4200/ Accept-Encoding: gzip, deflate, br Accept-Language: en-US,en;q=0.9,bn;q=0.8,hi;q=0.7 Cookie: email=armanrafsunjany%40gmail.com; isLoggedIn=true; _isUserLogin=true; io=aznf2x5iMt227-oNAAAM'"
2020-10-23T22:24:40.222474,127.0.0.1,58374,"GET /socket.io/?EIO=3&transport=polling&t=NLMHiOE HTTP/1.1
Host: localhost:8080
Connection: keep-alive
Accept: */*
User-Agent: Mozilla/5.0 (Linux; Android 5.0; SM-G900P Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.75 Mobile Safari/537.36
Origin: http://localhost:4200
Sec-Fetch-Site: same-site
Sec-Fetch-Mode: cors
Sec-Fetch-Dest: empty
Referer: http://localhost:4200/
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.9,bn;q=0.8,hi;q=0.7
Cookie: email=armanrafsunjany%40gmail.com; isLoggedIn=true; _isUserLogin=true; io=aznf2x5iMt227-oNAAAM

","b'>>>>>/socket.io/?EIO=3&transport=polling&t=NLMHiOE HTTP/1.1 Host: localhost:8080 Connection: keep-alive Accept: */* User-Agent: Mozilla/5.0 (Linux; Android 5.0; SM-G900P Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.75 Mobile Safari/537.36 Origin: http://localhost:4200 Sec-Fetch-Site: same-site Sec-Fetch-Mode: cors Sec-Fetch-Dest: empty Referer: http://localhost:4200/ Accept-Encoding: gzip, deflate, br Accept-Language: en-US,en;q=0.9,bn;q=0.8,hi;q=0.7 Cookie: email=armanrafsunjany%40gmail.com; isLoggedIn=true; _isUserLogin=true; io=aznf2x5iMt227-oNAAAM'"
